,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6309,0.6332,0.3333,0.02,0.0377,0.0674,0.9305
0_1,0.6377,0.6407,0.3333,0.0256,0.0476,0.08,0.9455
0_2,0.5928,0.4815,0.0,0.0,,-0.0145,0.9578
0_3,0.6326,0.6386,0.3333,0.0238,0.0444,0.0761,0.9413
0_4,0.6377,0.6461,0.3333,0.0323,0.0588,0.0927,0.9563
0_5,0.8224,0.8189,0.6667,0.087,0.1538,0.2336,0.97
0_6,0.8091,0.8107,0.6667,0.0571,0.1053,0.1861,0.9536
0_7,0.6258,0.642,0.3333,0.027,0.05,0.0828,0.9482
0_8,0.4603,0.4753,0.0,0.0,,-0.0146,0.9468
0_9,0.8183,0.8135,0.6667,0.0645,0.1176,0.1989,0.9591
0_Mean,0.6668,0.6601,0.3667,0.0337,0.0769,0.0989,0.9509
0_SD,0.1161,0.1245,0.246,0.0279,0.0429,0.0841,0.0109
Mean,0.6668,0.66,0.3667,0.0337,0.0769,0.0989,0.9509
SD,0.1161,0.1245,0.246,0.0279,0.0429,0.0841,0.0109
